,iterations,learning_rate,max_depth,rsm,subsample,score
120,1000,0.1,3,0.6,0.6,0.6733202508616836
121,1000,0.1,3,0.6,1.0,0.6650926236134653
122,1000,0.1,3,1.0,0.6,0.6752493283063087
123,1000,0.1,3,1.0,1.0,0.6660870409748123
124,1000,0.1,5,0.6,0.6,0.6755253744598397
125,1000,0.1,5,0.6,1.0,0.6692446465970858
126,1000,0.1,5,1.0,0.6,0.6652822018370136
127,1000,0.1,5,1.0,1.0,0.6790635242298368
128,1000,0.1,7,0.6,0.6,0.6647850784271816
129,1000,0.1,7,0.6,1.0,0.6570665602385146
130,1000,0.1,7,1.0,0.6,0.6605070140258312
131,1000,0.1,7,1.0,1.0,0.66084410869994
132,1000,0.2,3,0.6,0.6,0.6565314056141172
133,1000,0.2,3,0.6,1.0,0.6531925491903882
134,1000,0.2,3,1.0,0.6,0.6641230558667411
135,1000,0.2,3,1.0,1.0,0.6632848352140379
136,1000,0.2,5,0.6,0.6,0.6571997075286806
137,1000,0.2,5,0.6,1.0,0.6639922363862419
138,1000,0.2,5,1.0,0.6,0.6622034709927972
139,1000,0.2,5,1.0,1.0,0.6630758779416956
140,1000,0.2,7,0.6,0.6,0.6426921947861237
141,1000,0.2,7,0.6,1.0,0.6406036903634649
142,1000,0.2,7,1.0,0.6,0.6446478051506761
143,1000,0.2,7,1.0,1.0,0.643312779527415
144,1500,0.005,3,0.6,0.6,0.6104738791637665
145,1500,0.005,3,0.6,1.0,0.60871110149417
146,1500,0.005,3,1.0,0.6,0.6114641405364417
147,1500,0.005,3,1.0,1.0,0.6108015765787684
148,1500,0.005,5,0.6,0.6,0.6246362976852856
149,1500,0.005,5,0.6,1.0,0.6252720072036658
150,1500,0.005,5,1.0,0.6,0.6259820859838872
151,1500,0.005,5,1.0,1.0,0.6276805862277188
152,1500,0.005,7,0.6,0.6,0.6260622366500902
153,1500,0.005,7,0.6,1.0,0.6269488803095217
154,1500,0.005,7,1.0,0.6,0.6283576633763142
155,1500,0.005,7,1.0,1.0,0.6281946227612618
156,1500,0.01,3,0.6,0.6,0.64081529514234
157,1500,0.01,3,0.6,1.0,0.6377898902215196
158,1500,0.01,3,1.0,0.6,0.6394633514075851
159,1500,0.01,3,1.0,1.0,0.6373338667898566
160,1500,0.01,5,0.6,0.6,0.6587098133737611
161,1500,0.01,5,0.6,1.0,0.6557918549147422
162,1500,0.01,5,1.0,0.6,0.6581812962895857
163,1500,0.01,5,1.0,1.0,0.6584802155949111
164,1500,0.01,7,0.6,0.6,0.6576166080798164
165,1500,0.01,7,0.6,1.0,0.6600590927539228
166,1500,0.01,7,1.0,0.6,0.6593729342899624
167,1500,0.01,7,1.0,1.0,0.6583735460011724
168,1500,0.02,3,0.6,0.6,0.6602697861639465
169,1500,0.02,3,0.6,1.0,0.6624496704534528
170,1500,0.02,3,1.0,0.6,0.6613266137789602
171,1500,0.02,3,1.0,1.0,0.6583938353533331
172,1500,0.02,5,0.6,0.6,0.6793107871279863
173,1500,0.02,5,0.6,1.0,0.6728761218683162
174,1500,0.02,5,1.0,0.6,0.6768916569136995
175,1500,0.02,5,1.0,1.0,0.6780921644931632
176,1500,0.02,7,0.6,0.6,0.6727327435949972
177,1500,0.02,7,0.6,1.0,0.6712690189240769
178,1500,0.02,7,1.0,0.6,0.6739524233551983
179,1500,0.02,7,1.0,1.0,0.6683771006510847
180,1500,0.05,3,0.6,0.6,0.6717789182792729
181,1500,0.05,3,0.6,1.0,0.6770272732045907
182,1500,0.05,3,1.0,0.6,0.6746852044461212
183,1500,0.05,3,1.0,1.0,0.6725742427458743
